arch/ia64/sn/include/pci/pcibus_provider_defs.h,include/asm-ia64/sn/pcibus_provider_defs.h,arch/ia64/include/asm/sn/pcibus_provider_defs.h
arch/ia64/sn/include/pci/pcidev.h,include/asm-ia64/sn/pcidev.h,arch/ia64/include/asm/sn/pcidev.h
arch/um/kernel/sys_call_table.c,arch/um/sys-x86_64/sys_call_table.c
drivers/i2c/chips/adm9240.c,drivers/hwmon/adm9240.c
drivers/i2c/chips/asb100.c,drivers/hwmon/asb100.c
drivers/i2c/chips/atxp1.c,drivers/hwmon/atxp1.c
drivers/i2c/chips/ds1621.c,drivers/hwmon/ds1621.c
drivers/i2c/chips/fscher.c,drivers/hwmon/fscher.c
drivers/i2c/chips/fscpos.c,drivers/hwmon/fscpos.c
drivers/i2c/chips/gl518sm.c,drivers/hwmon/gl518sm.c
drivers/i2c/chips/gl520sm.c,drivers/hwmon/gl520sm.c
drivers/i2c/chips/it87.c,drivers/hwmon/it87.c
drivers/i2c/chips/lm63.c,drivers/hwmon/lm63.c
drivers/i2c/chips/lm75.c,drivers/hwmon/lm75.c
drivers/i2c/chips/lm75.h,drivers/hwmon/lm75.h
drivers/i2c/chips/lm77.c,drivers/hwmon/lm77.c
drivers/i2c/chips/lm78.c,drivers/hwmon/lm78.c
drivers/i2c/chips/lm80.c,drivers/hwmon/lm80.c
drivers/i2c/chips/lm83.c,drivers/hwmon/lm83.c
drivers/i2c/chips/lm85.c,drivers/hwmon/lm85.c
drivers/i2c/chips/lm87.c,drivers/hwmon/lm87.c
drivers/i2c/chips/lm90.c,drivers/hwmon/lm90.c
drivers/i2c/chips/lm92.c,drivers/hwmon/lm92.c
drivers/i2c/chips/max1619.c,drivers/hwmon/max1619.c
drivers/i2c/chips/pc87360.c,drivers/hwmon/pc87360.c
drivers/i2c/chips/sis5595.c,drivers/hwmon/sis5595.c
drivers/i2c/chips/smsc47b397.c,drivers/hwmon/smsc47b397.c
drivers/i2c/chips/smsc47m1.c,drivers/hwmon/smsc47m1.c
drivers/i2c/chips/via686a.c,drivers/hwmon/via686a.c
drivers/i2c/chips/w83627ehf.c,drivers/hwmon/w83627ehf.c
drivers/i2c/chips/w83627hf.c,drivers/hwmon/w83627hf.c
drivers/i2c/chips/w83781d.c,drivers/hwmon/w83781d.c
drivers/i2c/chips/w83l785ts.c,drivers/hwmon/w83l785ts.c
Documentation/i2c/chips/adm1021,Documentation/hwmon/adm1021
Documentation/i2c/chips/adm1025,Documentation/hwmon/adm1025
Documentation/i2c/chips/adm1026,Documentation/hwmon/adm1026
Documentation/i2c/chips/adm1031,Documentation/hwmon/adm1031
Documentation/i2c/chips/adm9240,Documentation/hwmon/adm9240
Documentation/i2c/chips/asb100,Documentation/hwmon/asb100
Documentation/i2c/chips/ds1621,Documentation/hwmon/ds1621
Documentation/i2c/chips/fscher,Documentation/hwmon/fscher
Documentation/i2c/chips/gl518sm,Documentation/hwmon/gl518sm
Documentation/i2c/chips/it87,Documentation/hwmon/it87
Documentation/i2c/chips/lm63,Documentation/hwmon/lm63
Documentation/i2c/chips/lm75,Documentation/hwmon/lm75
Documentation/i2c/chips/lm77,Documentation/hwmon/lm77
Documentation/i2c/chips/lm78,Documentation/hwmon/lm78
Documentation/i2c/chips/lm80,Documentation/hwmon/lm80
Documentation/i2c/chips/lm83,Documentation/hwmon/lm83
Documentation/i2c/chips/lm85,Documentation/hwmon/lm85
Documentation/i2c/chips/lm87,Documentation/hwmon/lm87
Documentation/i2c/chips/lm90,Documentation/hwmon/lm90
Documentation/i2c/chips/lm92,Documentation/hwmon/lm92
Documentation/i2c/chips/max1619,Documentation/hwmon/max1619
Documentation/i2c/chips/pc87360,Documentation/hwmon/pc87360
Documentation/i2c/chips/sis5595,Documentation/hwmon/sis5595
Documentation/i2c/chips/smsc47m1,Documentation/hwmon/smsc47m1
Documentation/i2c/sysfs-interface,Documentation/hwmon/sysfs-interface
Documentation/i2c/userspace-tools,Documentation/hwmon/userspace-tools
Documentation/i2c/chips/via686a,Documentation/hwmon/via686a
Documentation/i2c/chips/w83627hf,Documentation/hwmon/w83627hf
Documentation/i2c/chips/w83781d,Documentation/hwmon/w83781d
Documentation/i2c/chips/w83l785ts,Documentation/hwmon/w83l785ts
drivers/media/dvb/frontends/lgdt3302.c,drivers/media/dvb/frontends/lgdt330x.c,drivers/media/dvb-frontends/lgdt330x.c
drivers/media/dvb/frontends/lgdt3302.h,drivers/media/dvb/frontends/lgdt330x.h,drivers/media/dvb-frontends/lgdt330x.h
drivers/media/dvb/frontends/lgdt3302_priv.h,drivers/media/dvb/frontends/lgdt330x_priv.h,drivers/media/dvb-frontends/lgdt330x_priv.h
drivers/infiniband/include/ib_cache.h,include/rdma/ib_cache.h
drivers/infiniband/include/ib_cm.h,include/rdma/ib_cm.h
drivers/infiniband/include/ib_fmr_pool.h,include/rdma/ib_fmr_pool.h
drivers/infiniband/include/ib_mad.h,include/rdma/ib_mad.h
drivers/infiniband/include/ib_pack.h,include/rdma/ib_pack.h
drivers/infiniband/include/ib_sa.h,include/rdma/ib_sa.h
drivers/infiniband/include/ib_smi.h,include/rdma/ib_smi.h
drivers/infiniband/include/ib_user_cm.h,include/rdma/ib_user_cm.h,include/uapi/rdma/ib_user_cm.h
drivers/infiniband/include/ib_user_mad.h,include/rdma/ib_user_mad.h,include/uapi/rdma/ib_user_mad.h
drivers/infiniband/include/ib_user_verbs.h,include/rdma/ib_user_verbs.h,include/uapi/rdma/ib_user_verbs.h
drivers/infiniband/include/ib_verbs.h,include/rdma/ib_verbs.h
include/linux/tcp_diag.h,include/linux/inet_diag.h
net/ipv4/tcp_diag.c,net/ipv4/inet_diag.c
net/dccp/packet_history.c,net/dccp/ccids/lib/packet_history.c
net/dccp/packet_history.h,net/dccp/ccids/lib/packet_history.h
include/asm-ppc/linkage.h,include/asm-powerpc/linkage.h,arch/powerpc/include/asm/linkage.h,arch/powerpc/include/uapi/asm/linkage.h
include/asm-ppc/8253pit.h,include/asm-powerpc/8253pit.h,arch/powerpc/include/asm/8253pit.h
include/asm-ppc/agp.h,include/asm-powerpc/agp.h,arch/powerpc/include/asm/agp.h
include/asm-ppc/div64.h,include/asm-powerpc/div64.h,arch/powerpc/include/asm/div64.h
include/asm-ppc/ipc.h,include/asm-powerpc/ipc.h
include/asm-ppc/xor.h,include/asm-powerpc/xor.h,arch/powerpc/include/asm/xor.h
include/asm-ppc/errno.h,include/asm-powerpc/errno.h,arch/powerpc/include/asm/errno.h,arch/powerpc/include/uapi/asm/errno.h
include/asm-ppc/ioctl.h,include/asm-powerpc/ioctl.h,arch/powerpc/include/asm/ioctl.h,arch/powerpc/include/uapi/asm/ioctl.h
include/asm-ppc/ioctls.h,include/asm-powerpc/ioctls.h,arch/powerpc/include/asm/ioctls.h,arch/powerpc/include/uapi/asm/ioctls.h
include/asm-ppc64/local.h,include/asm-powerpc/local.h,arch/powerpc/include/asm/local.h
include/asm-ppc/namei.h,include/asm-powerpc/namei.h
include/asm-ppc/poll.h,include/asm-powerpc/poll.h,arch/powerpc/include/asm/poll.h,arch/powerpc/include/uapi/asm/poll.h
include/asm-ppc/shmparam.h,include/asm-powerpc/shmparam.h,arch/powerpc/include/asm/shmparam.h
include/asm-ppc/string.h,include/asm-powerpc/string.h,arch/powerpc/include/asm/string.h
include/asm-ppc/unaligned.h,include/asm-powerpc/unaligned.h,arch/powerpc/include/asm/unaligned.h
arch/mips/vr41xx/tanbac-tb0226/setup.c,arch/mips/vr41xx/common/type.c
arch/x86_64/kernel/semaphore.c,lib/semaphore-sleepers.c
arch/um/Kconfig_char,arch/um/Kconfig.char
arch/um/Kconfig_i386,arch/um/Kconfig.i386,arch/um/Kconfig.x86,arch/x86/um/Kconfig
arch/um/Kconfig_net,arch/um/Kconfig.net
arch/um/Kconfig_scsi,arch/um/Kconfig.scsi
arch/um/Kconfig_x86_64,arch/um/Kconfig.x86_64
arch/um/kernel/process.c,arch/um/os-Linux/start_up.c
drivers/i2c/i2c-sensor-vid.c,drivers/hwmon/hwmon-vid.c
include/linux/i2c-vid.h,include/linux/hwmon-vid.h
include/asm-ppc64/mman.h,include/asm-powerpc/mman.h,arch/powerpc/include/asm/mman.h
include/asm-ppc64/termbits.h,include/asm-powerpc/termbits.h,arch/powerpc/include/asm/termbits.h,arch/powerpc/include/uapi/asm/termbits.h
include/asm-ppc64/termios.h,include/asm-powerpc/termios.h,arch/powerpc/include/asm/termios.h
include/asm-ppc64/mc146818rtc.h,include/asm-powerpc/mc146818rtc.h,arch/powerpc/include/asm/mc146818rtc.h
include/asm-ppc64/sembuf.h,include/asm-powerpc/sembuf.h,arch/powerpc/include/asm/sembuf.h,arch/powerpc/include/uapi/asm/sembuf.h
include/asm-ppc64/shmbuf.h,include/asm-powerpc/shmbuf.h,arch/powerpc/include/asm/shmbuf.h,arch/powerpc/include/uapi/asm/shmbuf.h
include/asm-ppc64/siginfo.h,include/asm-powerpc/siginfo.h,arch/powerpc/include/asm/siginfo.h,arch/powerpc/include/uapi/asm/siginfo.h
include/asm-ppc64/socket.h,include/asm-powerpc/socket.h,arch/powerpc/include/asm/socket.h,arch/powerpc/include/uapi/asm/socket.h
include/asm-ppc64/sockios.h,include/asm-powerpc/sockios.h,arch/powerpc/include/asm/sockios.h,arch/powerpc/include/uapi/asm/sockios.h
arch/ppc64/oprofile/op_impl.h,include/asm-ppc64/oprofile_impl.h,include/asm-powerpc/oprofile_impl.h,arch/powerpc/include/asm/oprofile_impl.h
include/asm-ppc/fcntl.h,include/asm-powerpc/fcntl.h,arch/powerpc/include/asm/fcntl.h,arch/powerpc/include/uapi/asm/fcntl.h
include/asm-ppc/msgbuf.h,include/asm-powerpc/msgbuf.h,arch/powerpc/include/asm/msgbuf.h,arch/powerpc/include/uapi/asm/msgbuf.h
include/asm-ppc/param.h,include/asm-powerpc/param.h,arch/powerpc/include/asm/param.h,arch/powerpc/include/uapi/asm/param.h
include/asm-ppc/timex.h,include/asm-powerpc/timex.h,arch/powerpc/include/asm/timex.h
include/asm-ppc64/topology.h,include/asm-powerpc/topology.h,arch/powerpc/include/asm/topology.h
include/asm-ppc/user.h,include/asm-powerpc/user.h,arch/powerpc/include/asm/user.h
arch/v850/kernel/asm-consts.c,arch/v850/kernel/asm-offsets.c
arch/mips/kernel/offset.c,arch/mips/kernel/asm-offsets.c
include/asm-ppc/ppc_asm.h,include/asm-powerpc/ppc_asm.h,arch/powerpc/include/asm/ppc_asm.h
include/asm-ppc64/sections.h,include/asm-powerpc/sections.h,arch/powerpc/include/asm/sections.h
include/asm-ppc64/posix_types.h,include/asm-powerpc/posix_types.h,arch/powerpc/include/asm/posix_types.h,arch/powerpc/include/uapi/asm/posix_types.h
arch/ppc/kernel/vecemu.c,arch/powerpc/kernel/vecemu.c
include/asm-ppc64/a.out.h,include/asm-powerpc/a.out.h,arch/powerpc/include/asm/a.out.h
arch/ppc/oprofile/Kconfig,arch/powerpc/oprofile/Kconfig
arch/ppc64/oprofile/common.c,arch/powerpc/oprofile/common.c
arch/ppc/oprofile/op_model_fsl_booke.c,arch/powerpc/oprofile/op_model_fsl_booke.c,arch/powerpc/oprofile/op_model_fsl_emb.c
arch/ppc64/oprofile/op_model_power4.c,arch/powerpc/oprofile/op_model_power4.c
arch/ppc64/oprofile/op_model_rs64.c,arch/powerpc/oprofile/op_model_rs64.c
include/asm-ppc/hardirq.h,include/asm-powerpc/hardirq.h,arch/powerpc/include/asm/hardirq.h
include/asm-ppc64/bug.h,include/asm-powerpc/bug.h,arch/powerpc/include/asm/bug.h
include/asm-ppc64/elf.h,include/asm-powerpc/elf.h,arch/powerpc/include/asm/elf.h
include/asm-ppc64/vga.h,include/asm-powerpc/vga.h,arch/powerpc/include/asm/vga.h
include/asm-ppc64/auxvec.h,include/asm-powerpc/auxvec.h,arch/powerpc/include/asm/auxvec.h,arch/powerpc/include/uapi/asm/auxvec.h
include/asm-ppc64/spinlock_types.h,include/asm-powerpc/spinlock_types.h,arch/powerpc/include/asm/spinlock_types.h
include/asm-ppc64/statfs.h,include/asm-powerpc/statfs.h,arch/powerpc/include/asm/statfs.h,arch/powerpc/include/uapi/asm/statfs.h
include/asm-ppc/dma.h,include/asm-powerpc/dma.h,arch/powerpc/include/asm/dma.h
include/asm-ppc64/hw_irq.h,include/asm-powerpc/hw_irq.h,arch/powerpc/include/asm/hw_irq.h
include/asm-ppc64/seccomp.h,include/asm-powerpc/seccomp.h,arch/powerpc/include/asm/seccomp.h,arch/powerpc/include/uapi/asm/seccomp.h
include/asm-ppc/atomic.h,include/asm-powerpc/atomic.h,arch/powerpc/include/asm/atomic.h
include/asm-ppc64/rwsem.h,include/asm-powerpc/rwsem.h,arch/powerpc/include/asm/rwsem.h
include/asm-ppc64/semaphore.h,include/asm-powerpc/semaphore.h
arch/ppc64/kernel/HvCall.c,arch/powerpc/platforms/iseries/hvcall.c,arch/powerpc/platforms/iseries/hvlog.c
arch/ppc64/kernel/HvLpConfig.c,arch/powerpc/platforms/iseries/hvlpconfig.c
arch/ppc64/kernel/LparData.c,arch/powerpc/platforms/iseries/lpardata.c
arch/ppc64/kernel/mf.c,arch/powerpc/platforms/iseries/mf.c
arch/ppc64/kernel/iSeries_setup.c,arch/powerpc/platforms/iseries/setup.c
arch/ppc64/kernel/iSeries_setup.h,arch/powerpc/platforms/iseries/setup.h
arch/ppc64/kernel/ItLpQueue.c,arch/powerpc/platforms/iseries/lpevents.c
arch/ppc64/kernel/hvCall.S,arch/powerpc/platforms/iseries/hvcall.S
arch/ppc64/kernel/iSeries_proc.c,arch/powerpc/platforms/iseries/proc.c
arch/ppc64/kernel/iSeries_htab.c,arch/powerpc/platforms/iseries/htab.c
arch/ppc64/kernel/iSeries_iommu.c,arch/powerpc/platforms/iseries/iommu.c
arch/ppc64/kernel/iSeries_pci.c,arch/powerpc/platforms/iseries/pci.c
arch/ppc64/kernel/pci.h,include/asm-powerpc/ppc-pci.h,arch/powerpc/include/asm/ppc-pci.h
arch/ppc64/kernel/iSeries_irq.c,arch/powerpc/platforms/iseries/irq.c
arch/ppc64/kernel/iSeries_VpdInfo.c,arch/powerpc/platforms/iseries/vpdinfo.c
arch/ppc64/kernel/iSeries_vio.c,arch/powerpc/platforms/iseries/vio.c
arch/ppc64/kernel/iSeries_smp.c,arch/powerpc/platforms/iseries/smp.c
arch/ppc64/kernel/viopath.c,arch/powerpc/platforms/iseries/viopath.c
include/asm-ppc64/byteorder.h,include/asm-powerpc/byteorder.h,arch/powerpc/include/asm/byteorder.h,arch/powerpc/include/uapi/asm/byteorder.h
arch/ia64/lib/swiotlb.c,lib/swiotlb.c
include/asm-ppc64/iSeries/HvCallSm.h,arch/powerpc/platforms/iseries/call_sm.h
include/asm-ppc64/iSeries/ItIplParmsReal.h,arch/powerpc/platforms/iseries/ipl_parms.h
include/asm-ppc64/iSeries/iSeries_irq.h,arch/powerpc/platforms/iseries/irq.h
include/asm-ppc64/iSeries/IoHriMainStore.h,arch/powerpc/platforms/iseries/main_store.h
include/asm-ppc64/iSeries/IoHriProcessorVpd.h,arch/powerpc/platforms/iseries/processor_vpd.h
include/asm-ppc64/iSeries/HvReleaseData.h,arch/powerpc/platforms/iseries/release_data.h
include/asm-ppc64/iSeries/ItSpCommArea.h,arch/powerpc/platforms/iseries/spcomm_area.h
include/asm-ppc64/iSeries/ItVpdAreas.h,arch/powerpc/platforms/iseries/vpd_areas.h
arch/ppc64/kernel/lparmap.c,arch/powerpc/platforms/iseries/lparmap.c,arch/powerpc/kernel/lparmap.c
arch/ppc64/kernel/idle_power4.S,arch/powerpc/kernel/idle_power4.S
include/asm-ppc/of_device.h,include/asm-powerpc/of_device.h,arch/powerpc/include/asm/of_device.h
include/asm-ppc/processor.h,include/asm-powerpc/processor.h,arch/powerpc/include/asm/processor.h
arch/powerpc/kernel/head.S,arch/powerpc/kernel/head_32.S
arch/powerpc/kernel/setup.c,arch/powerpc/kernel/setup_32.c
arch/powerpc/lib/checksum.S,arch/powerpc/lib/checksum_32.S
arch/powerpc/lib/checksum64.S,arch/powerpc/lib/checksum_64.S
arch/powerpc/lib/copy32.S,arch/powerpc/lib/copy_32.S
arch/powerpc/lib/copypage.S,arch/powerpc/lib/copypage_64.S
arch/powerpc/lib/copyuser.S,arch/powerpc/lib/copyuser_64.S
arch/powerpc/lib/memcpy.S,arch/powerpc/lib/memcpy_64.S
arch/powerpc/lib/usercopy.c,arch/powerpc/lib/usercopy_64.c
arch/powerpc/mm/hash_32.S,arch/powerpc/mm/hash_low_32.S
arch/powerpc/mm/init.c,arch/powerpc/mm/init_32.c
arch/powerpc/mm/init64.c,arch/powerpc/mm/init_64.c
arch/powerpc/mm/mmu_context.c,arch/powerpc/mm/mmu_context_32.c
arch/powerpc/mm/mmu_context64.c,arch/powerpc/mm/mmu_context_64.c,arch/powerpc/mm/mmu_context_hash64.c
arch/powerpc/mm/pgtable.c,arch/powerpc/mm/pgtable_32.c
arch/powerpc/mm/pgtable64.c,arch/powerpc/mm/pgtable_64.c
arch/powerpc/mm/ppc_mmu.c,arch/powerpc/mm/ppc_mmu_32.c
arch/powerpc/mm/tlb.c,arch/powerpc/mm/tlb_32.c,arch/powerpc/mm/tlb_hash32.c
arch/ppc64/mm/hash_low.S,arch/powerpc/mm/hash_low_64.S
arch/ppc64/mm/hash_native.c,arch/powerpc/mm/hash_native_64.c
arch/ppc64/mm/hash_utils.c,arch/powerpc/mm/hash_utils_64.c
arch/ppc64/mm/hugetlbpage.c,arch/powerpc/mm/hugetlbpage.c
arch/ppc64/mm/imalloc.c,arch/powerpc/mm/imalloc.c
arch/ppc64/mm/mmap.c,arch/powerpc/mm/mmap.c,arch/powerpc/mm/mmap_64.c
arch/ppc64/mm/numa.c,arch/powerpc/mm/numa.c
arch/ppc64/mm/slb.c,arch/powerpc/mm/slb.c
arch/ppc64/mm/slb_low.S,arch/powerpc/mm/slb_low.S
arch/ppc64/mm/stab.c,arch/powerpc/mm/stab.c
arch/ppc64/mm/tlb.c,arch/powerpc/mm/tlb_64.c,arch/powerpc/mm/tlb_hash64.c
arch/ppc64/kernel/pSeries_hvCall.S,arch/powerpc/platforms/pseries/hvCall.S
arch/ppc64/kernel/pSeries_iommu.c,arch/powerpc/platforms/pseries/iommu.c
arch/ppc64/kernel/pSeries_lpar.c,arch/powerpc/platforms/pseries/lpar.c
arch/ppc64/kernel/pSeries_nvram.c,arch/powerpc/platforms/pseries/nvram.c
arch/ppc64/kernel/pSeries_pci.c,arch/powerpc/platforms/pseries/pci.c
arch/ppc64/kernel/pSeries_reconfig.c,arch/powerpc/platforms/pseries/reconfig.c
arch/ppc64/kernel/pSeries_setup.c,arch/powerpc/platforms/pseries/setup.c
arch/ppc64/kernel/pSeries_smp.c,arch/powerpc/platforms/pseries/smp.c
arch/ppc64/kernel/pSeries_vio.c,arch/powerpc/platforms/pseries/vio.c
arch/powerpc/platforms/powermac/pmac_backlight.c,arch/powerpc/platforms/powermac/backlight.c
arch/powerpc/platforms/powermac/pmac_cache.S,arch/powerpc/platforms/powermac/cache.S
arch/powerpc/platforms/powermac/pmac_cpufreq.c,arch/powerpc/platforms/powermac/cpufreq.c,arch/powerpc/platforms/powermac/cpufreq_32.c
arch/powerpc/platforms/powermac/pmac_feature.c,arch/powerpc/platforms/powermac/feature.c
arch/powerpc/platforms/powermac/pmac_low_i2c.c,arch/powerpc/platforms/powermac/low_i2c.c
arch/powerpc/platforms/powermac/pmac_nvram.c,arch/powerpc/platforms/powermac/nvram.c
arch/powerpc/platforms/powermac/pmac_pci.c,arch/powerpc/platforms/powermac/pci.c
arch/powerpc/platforms/powermac/pmac_pic.c,arch/powerpc/platforms/powermac/pic.c
arch/powerpc/platforms/powermac/pmac_pic.h,arch/powerpc/platforms/powermac/pic.h
arch/powerpc/platforms/powermac/pmac_setup.c,arch/powerpc/platforms/powermac/setup.c
arch/powerpc/platforms/powermac/pmac_sleep.S,arch/powerpc/platforms/powermac/sleep.S
arch/powerpc/platforms/powermac/pmac_smp.c,arch/powerpc/platforms/powermac/smp.c
arch/powerpc/platforms/powermac/pmac_time.c,arch/powerpc/platforms/powermac/time.c
include/asm-ppc/irq.h,include/asm-powerpc/irq.h,arch/powerpc/include/asm/irq.h
include/asm-ppc/unistd.h,include/asm-powerpc/unistd.h,arch/powerpc/include/asm/unistd.h
include/asm-ppc/backlight.h,include/asm-powerpc/backlight.h,arch/powerpc/include/asm/backlight.h
include/asm-ppc/i8259.h,include/asm-powerpc/i8259.h,arch/powerpc/include/asm/i8259.h
arch/ppc/kernel/cputable.c,arch/powerpc/kernel/cputable.c
arch/ppc64/kernel/binfmt_elf32.c,arch/powerpc/kernel/binfmt_elf32.c
arch/ppc/kernel/ptrace.c,arch/powerpc/kernel/ptrace.c
include/asm-ppc64/iSeries/iSeries_pci.h,arch/powerpc/platforms/iseries/pci.h
include/asm-ppc64/iSeries/HvCallHpt.h,arch/powerpc/platforms/iseries/call_hpt.h
include/asm-ppc64/iSeries/HvCallPci.h,arch/powerpc/platforms/iseries/call_pci.h
arch/ppc64/kernel/sys_ppc32.c,arch/powerpc/kernel/sys_ppc32.c
arch/ppc64/kernel/syscalls.c,arch/powerpc/kernel/syscalls.c
arch/ppc64/kernel/signal32.c,arch/powerpc/kernel/signal_32.c
include/asm-ppc64/machdep.h,include/asm-powerpc/machdep.h,arch/powerpc/include/asm/machdep.h
arch/ppc64/kernel/ptrace32.c,arch/powerpc/kernel/ptrace32.c
arch/ppc64/kernel/time.c,arch/powerpc/kernel/time.c
arch/ppc64/kernel/pmc.c,arch/powerpc/kernel/pmc.c
include/asm-ppc64/pmc.h,include/asm-powerpc/pmc.h,arch/powerpc/include/asm/pmc.h
include/asm-ppc64/types.h,include/asm-powerpc/types.h,arch/powerpc/include/asm/types.h
include/asm-ppc/dbdma.h,include/asm-powerpc/dbdma.h,arch/powerpc/include/asm/dbdma.h
include/asm-ppc/heathrow.h,include/asm-powerpc/heathrow.h,arch/powerpc/include/asm/heathrow.h
include/asm-ppc/keylargo.h,include/asm-powerpc/keylargo.h,arch/powerpc/include/asm/keylargo.h
include/asm-ppc/macio.h,include/asm-powerpc/macio.h,arch/powerpc/include/asm/macio.h
include/asm-ppc/mediabay.h,include/asm-powerpc/mediabay.h,arch/powerpc/include/asm/mediabay.h
include/asm-ppc/ohare.h,include/asm-powerpc/ohare.h,arch/powerpc/include/asm/ohare.h
include/asm-ppc/pmac_feature.h,include/asm-powerpc/pmac_feature.h,arch/powerpc/include/asm/pmac_feature.h
include/asm-ppc/pmac_low_i2c.h,include/asm-powerpc/pmac_low_i2c.h,arch/powerpc/include/asm/pmac_low_i2c.h
include/asm-ppc64/smu.h,include/asm-powerpc/smu.h,arch/powerpc/include/asm/smu.h
include/asm-ppc/uninorth.h,include/asm-powerpc/uninorth.h,arch/powerpc/include/asm/uninorth.h
include/asm-ppc64/thread_info.h,include/asm-powerpc/thread_info.h,arch/powerpc/include/asm/thread_info.h
arch/ppc64/kernel/vio.c,arch/powerpc/kernel/vio.c
include/asm-ppc64/vio.h,include/asm-powerpc/vio.h,arch/powerpc/include/asm/vio.h
include/asm-ppc64/checksum.h,include/asm-powerpc/checksum.h,arch/powerpc/include/asm/checksum.h
include/asm-ppc64/firmware.h,include/asm-powerpc/firmware.h,arch/powerpc/include/asm/firmware.h
arch/ppc64/kernel/ras.c,arch/powerpc/platforms/pseries/ras.c
arch/ppc/syslib/i8259.c,arch/powerpc/sysdev/i8259.c
arch/ppc64/kernel/rtas.c,arch/powerpc/kernel/rtas.c
include/asm-ppc64/scatterlist.h,include/asm-powerpc/scatterlist.h,arch/powerpc/include/asm/scatterlist.h
include/asm-ppc/parport.h,include/asm-powerpc/parport.h,arch/powerpc/include/asm/parport.h
arch/ppc/syslib/dcr.S,arch/powerpc/sysdev/dcr.S
arch/ppc64/kernel/u3_iommu.c,arch/powerpc/sysdev/u3_iommu.c,arch/powerpc/sysdev/dart_iommu.c
arch/ppc64/kernel/xics.c,arch/powerpc/platforms/pseries/xics.c
include/asm-ppc64/xics.h,arch/powerpc/platforms/pseries/xics.h
include/asm-ppc64/sstep.h,include/asm-powerpc/sstep.h,arch/powerpc/include/asm/sstep.h
arch/ppc64/xmon/ansidecl.h,arch/powerpc/xmon/ansidecl.h
arch/ppc64/xmon/nonstdio.h,arch/powerpc/xmon/nonstdio.h
arch/ppc64/xmon/ppc-dis.c,arch/powerpc/xmon/ppc-dis.c
arch/ppc64/xmon/ppc-opc.c,arch/powerpc/xmon/ppc-opc.c
arch/ppc64/xmon/ppc.h,arch/powerpc/xmon/ppc.h
arch/ppc64/xmon/start.c,arch/powerpc/xmon/start_64.c,arch/powerpc/xmon/start.c
