codemp/WinDed.vcxproj,codemp/dedicated.vcxproj,codemp/openjkded.vcxproj
codemp/game/JK2_game.vcxproj,codemp/game/game.vcxproj
codemp/unix/snapvector.nasm,codemp/unix_ded/snapvector.nasm
codemp/unix/unix_shared.cpp,codemp/unix_ded/unix_shared.cpp,codemp/sys/unix_shared.cpp
code/game/AnimalNPC.c,code/game/AnimalNPC.cpp
code/game/FighterNPC.c,code/game/FighterNPC.cpp
code/game/SpeederNPC.c,code/game/SpeederNPC.cpp
code/game/WalkerNPC.c,code/game/WalkerNPC.cpp
code/game/bg_vehicleLoad.c,code/game/bg_vehicleLoad.cpp
code/game/g_vehicles.c,code/game/g_vehicles.cpp
code/game/AnimalNPC.c,code/game/AnimalNPC.cpp
code/game/FighterNPC.c,code/game/FighterNPC.cpp
code/game/SpeederNPC.c,code/game/SpeederNPC.cpp
code/game/WalkerNPC.c,code/game/WalkerNPC.cpp
code/game/bg_vehicleLoad.c,code/game/bg_vehicleLoad.cpp
code/game/g_vehicles.c,code/game/g_vehicles.cpp
codemp/renderer/matcomp.c,codemp/qcommon/matcomp.cpp
codemp/renderer/matcomp.h,codemp/qcommon/matcomp.h
codemp/ghoul2/G2_API.cpp,codemp/rd-dedicated/G2_API.cpp
codemp/ghoul2/G2_bolts.cpp,codemp/rd-dedicated/G2_bolts.cpp
codemp/ghoul2/G2_local.h,codemp/rd-dedicated/G2_local.h
codemp/ghoul2/G2_misc.cpp,codemp/rd-dedicated/G2_misc.cpp
codemp/ghoul2/G2_surfaces.cpp,codemp/rd-dedicated/G2_surfaces.cpp
codemp/renderer/glext.h,codemp/rd-dedicated/glext.h
codemp/renderer/qgl.h,codemp/rd-dedicated/qgl.h
codemp/renderer/tr_WorldEffects.h,codemp/rd-dedicated/tr_WorldEffects.h
codemp/renderer/tr_font.h,codemp/rd-dedicated/tr_font.h
codemp/renderer/tr_landscape.h,codemp/rd-dedicated/tr_landscape.h
codemp/renderer/tr_quicksprite.h,codemp/rd-dedicated/tr_quicksprite.h
codemp/ghoul2/G2_bones.cpp,codemp/rd-vanilla/G2_bones.cpp
codemp/renderer/tr_WorldEffects.cpp,codemp/rd-vanilla/tr_WorldEffects.cpp
codemp/renderer/tr_animation.cpp,codemp/rd-vanilla/tr_animation.cpp
codemp/renderer/tr_arioche.cpp,codemp/rd-vanilla/tr_arioche.cpp
codemp/renderer/tr_backend.cpp,codemp/rd-vanilla/tr_backend.cpp
codemp/renderer/tr_bsp.cpp,codemp/rd-vanilla/tr_bsp.cpp
codemp/renderer/tr_cmds.cpp,codemp/rd-vanilla/tr_cmds.cpp
codemp/renderer/tr_curve.cpp,codemp/rd-vanilla/tr_curve.cpp
codemp/renderer/tr_flares.cpp,codemp/rd-vanilla/tr_flares.cpp
codemp/renderer/tr_font.cpp,codemp/rd-vanilla/tr_font.cpp,codemp/rd-common/tr_font.cpp
codemp/renderer/tr_ghoul2.cpp,codemp/rd-vanilla/tr_ghoul2.cpp
codemp/renderer/tr_image.cpp,codemp/rd-vanilla/tr_image.cpp
codemp/renderer/tr_init.cpp,codemp/rd-vanilla/tr_init.cpp
codemp/renderer/tr_light.cpp,codemp/rd-vanilla/tr_light.cpp
codemp/renderer/tr_local.h,codemp/rd-vanilla/tr_local.h
codemp/renderer/tr_main.cpp,codemp/rd-vanilla/tr_main.cpp
codemp/renderer/tr_marks.cpp,codemp/rd-vanilla/tr_marks.cpp
codemp/renderer/tr_mesh.cpp,codemp/rd-vanilla/tr_mesh.cpp
codemp/renderer/tr_model.cpp,codemp/rd-vanilla/tr_model.cpp
codemp/renderer/tr_noise.cpp,codemp/rd-vanilla/tr_noise.cpp,codemp/rd-common/tr_noise.cpp
codemp/renderer/tr_quicksprite.cpp,codemp/rd-vanilla/tr_quicksprite.cpp
codemp/renderer/tr_scene.cpp,codemp/rd-vanilla/tr_scene.cpp
codemp/renderer/tr_shade.cpp,codemp/rd-vanilla/tr_shade.cpp
codemp/renderer/tr_shade_calc.cpp,codemp/rd-vanilla/tr_shade_calc.cpp
codemp/renderer/tr_shader.cpp,codemp/rd-vanilla/tr_shader.cpp
codemp/renderer/tr_shadows.cpp,codemp/rd-vanilla/tr_shadows.cpp
codemp/renderer/tr_sky.cpp,codemp/rd-vanilla/tr_sky.cpp
codemp/renderer/tr_surface.cpp,codemp/rd-vanilla/tr_surface.cpp
codemp/renderer/tr_surfacesprites.cpp,codemp/rd-vanilla/tr_surfacesprites.cpp
codemp/renderer/tr_terrain.cpp,codemp/rd-vanilla/tr_terrain.cpp
codemp/renderer/tr_world.cpp,codemp/rd-vanilla/tr_world.cpp
codemp/cgame/tr_types.h,codemp/renderer/tr_types.h,codemp/rd-common/tr_types.h
codemp/renderer/matcomp.c,codemp/qcommon/matcomp.cpp
codemp/renderer/matcomp.h,codemp/qcommon/matcomp.h
codemp/ghoul2/G2_API.cpp,codemp/rd-dedicated/G2_API.cpp
codemp/ghoul2/G2_bolts.cpp,codemp/rd-dedicated/G2_bolts.cpp
codemp/ghoul2/G2_local.h,codemp/rd-dedicated/G2_local.h
codemp/ghoul2/G2_misc.cpp,codemp/rd-dedicated/G2_misc.cpp
codemp/ghoul2/G2_surfaces.cpp,codemp/rd-dedicated/G2_surfaces.cpp
codemp/renderer/glext.h,codemp/rd-dedicated/glext.h
codemp/renderer/qgl.h,codemp/rd-dedicated/qgl.h
codemp/renderer/tr_WorldEffects.h,codemp/rd-dedicated/tr_WorldEffects.h
codemp/renderer/tr_font.h,codemp/rd-dedicated/tr_font.h
codemp/renderer/tr_landscape.h,codemp/rd-dedicated/tr_landscape.h
codemp/renderer/tr_quicksprite.h,codemp/rd-dedicated/tr_quicksprite.h
codemp/ghoul2/G2_bones.cpp,codemp/rd-vanilla/G2_bones.cpp
codemp/renderer/tr_WorldEffects.cpp,codemp/rd-vanilla/tr_WorldEffects.cpp
codemp/renderer/tr_animation.cpp,codemp/rd-vanilla/tr_animation.cpp
codemp/renderer/tr_arioche.cpp,codemp/rd-vanilla/tr_arioche.cpp
codemp/renderer/tr_backend.cpp,codemp/rd-vanilla/tr_backend.cpp
codemp/renderer/tr_bsp.cpp,codemp/rd-vanilla/tr_bsp.cpp
codemp/renderer/tr_cmds.cpp,codemp/rd-vanilla/tr_cmds.cpp
codemp/renderer/tr_curve.cpp,codemp/rd-vanilla/tr_curve.cpp
codemp/renderer/tr_flares.cpp,codemp/rd-vanilla/tr_flares.cpp
codemp/renderer/tr_font.cpp,codemp/rd-vanilla/tr_font.cpp
codemp/renderer/tr_ghoul2.cpp,codemp/rd-vanilla/tr_ghoul2.cpp
codemp/renderer/tr_image.cpp,codemp/rd-vanilla/tr_image.cpp
codemp/renderer/tr_init.cpp,codemp/rd-vanilla/tr_init.cpp
codemp/renderer/tr_light.cpp,codemp/rd-vanilla/tr_light.cpp
codemp/renderer/tr_local.h,codemp/rd-vanilla/tr_local.h
codemp/renderer/tr_main.cpp,codemp/rd-vanilla/tr_main.cpp
codemp/renderer/tr_marks.cpp,codemp/rd-vanilla/tr_marks.cpp
codemp/renderer/tr_mesh.cpp,codemp/rd-vanilla/tr_mesh.cpp
codemp/renderer/tr_model.cpp,codemp/rd-vanilla/tr_model.cpp
codemp/renderer/tr_noise.cpp,codemp/rd-vanilla/tr_noise.cpp
codemp/renderer/tr_quicksprite.cpp,codemp/rd-vanilla/tr_quicksprite.cpp
codemp/renderer/tr_scene.cpp,codemp/rd-vanilla/tr_scene.cpp
codemp/renderer/tr_shade.cpp,codemp/rd-vanilla/tr_shade.cpp
codemp/renderer/tr_shade_calc.cpp,codemp/rd-vanilla/tr_shade_calc.cpp
codemp/renderer/tr_shader.cpp,codemp/rd-vanilla/tr_shader.cpp
codemp/renderer/tr_shadows.cpp,codemp/rd-vanilla/tr_shadows.cpp
codemp/renderer/tr_sky.cpp,codemp/rd-vanilla/tr_sky.cpp
codemp/renderer/tr_surface.cpp,codemp/rd-vanilla/tr_surface.cpp
codemp/renderer/tr_surfacesprites.cpp,codemp/rd-vanilla/tr_surfacesprites.cpp
codemp/renderer/tr_terrain.cpp,codemp/rd-vanilla/tr_terrain.cpp
codemp/renderer/tr_world.cpp,codemp/rd-vanilla/tr_world.cpp
codemp/cgame/tr_types.h,codemp/renderer/tr_types.h
code/renderer/amd3d.h,code/rd-vanilla/amd3d.h
code/renderer/glext.h,code/rd-vanilla/glext.h
code/renderer/glext_console.h,code/rd-vanilla/glext_console.h
code/renderer/matcomp.c,code/rd-vanilla/matcomp.c,code/qcommon/matcomp.cpp
code/renderer/matcomp.h,code/rd-vanilla/matcomp.h
code/renderer/qgl.h,code/rd-vanilla/qgl.h
code/renderer/qgl_console.h,code/rd-vanilla/qgl_console.h
code/renderer/qgl_linked.h,code/rd-vanilla/qgl_linked.h
code/renderer/ref_trin.def,code/rd-vanilla/ref_trin.def
code/renderer/tr_WorldEffects.cpp,code/rd-vanilla/tr_WorldEffects.cpp
code/renderer/tr_WorldEffects.h,code/rd-vanilla/tr_WorldEffects.h
code/renderer/tr_animation.cpp,code/rd-vanilla/tr_animation.cpp
code/renderer/tr_arioche.cpp,code/rd-vanilla/tr_arioche.cpp
code/renderer/tr_backend.cpp,code/rd-vanilla/tr_backend.cpp
code/renderer/tr_bsp.cpp,code/rd-vanilla/tr_bsp.cpp
code/renderer/tr_cmds.cpp,code/rd-vanilla/tr_cmds.cpp
code/renderer/tr_curve.cpp,code/rd-vanilla/tr_curve.cpp
code/renderer/tr_draw.cpp,code/rd-vanilla/tr_draw.cpp
code/renderer/tr_flares.cpp,code/rd-vanilla/tr_flares.cpp
code/renderer/tr_font.cpp,code/rd-vanilla/tr_font.cpp,code/rd-common/tr_font.cpp
code/renderer/tr_font.h,code/rd-vanilla/tr_font.h,code/rd-common/tr_font.h
code/renderer/tr_ghoul2.cpp,code/rd-vanilla/tr_ghoul2.cpp
code/renderer/tr_image.cpp,code/rd-vanilla/tr_image.cpp
code/renderer/tr_init.cpp,code/rd-vanilla/tr_init.cpp
code/renderer/tr_jpeg_interface.cpp,code/rd-vanilla/tr_jpeg_interface.cpp
code/renderer/tr_jpeg_interface.h,code/rd-vanilla/tr_jpeg_interface.h
code/renderer/tr_landscape.h,code/rd-vanilla/tr_landscape.h
code/renderer/tr_light.cpp,code/rd-vanilla/tr_light.cpp
code/renderer/tr_local.h,code/rd-vanilla/tr_local.h
code/renderer/tr_main.cpp,code/rd-vanilla/tr_main.cpp
code/renderer/tr_marks.cpp,code/rd-vanilla/tr_marks.cpp
code/renderer/tr_mesh.cpp,code/rd-vanilla/tr_mesh.cpp
code/renderer/tr_model.cpp,code/rd-vanilla/tr_model.cpp
code/renderer/tr_noise.cpp,code/rd-vanilla/tr_noise.cpp,code/rd-common/tr_noise.cpp
code/renderer/tr_quicksprite.cpp,code/rd-vanilla/tr_quicksprite.cpp
code/renderer/tr_quicksprite.h,code/rd-vanilla/tr_quicksprite.h
code/renderer/tr_scene.cpp,code/rd-vanilla/tr_scene.cpp
code/renderer/tr_shade.cpp,code/rd-vanilla/tr_shade.cpp
code/renderer/tr_shade_calc.cpp,code/rd-vanilla/tr_shade_calc.cpp
code/renderer/tr_shader.cpp,code/rd-vanilla/tr_shader.cpp
code/renderer/tr_shadows.cpp,code/rd-vanilla/tr_shadows.cpp
code/renderer/tr_sky.cpp,code/rd-vanilla/tr_sky.cpp
code/renderer/tr_stl.cpp,code/rd-vanilla/tr_stl.cpp
code/renderer/tr_stl.h,code/rd-vanilla/tr_stl.h
code/renderer/tr_surface.cpp,code/rd-vanilla/tr_surface.cpp
code/renderer/tr_surfacesprites.cpp,code/rd-vanilla/tr_surfacesprites.cpp
code/renderer/tr_terrain.cpp,code/rd-vanilla/tr_terrain.cpp
code/renderer/tr_world.cpp,code/rd-vanilla/tr_world.cpp
codemp/png/png.cpp,codemp/png/rpng.cpp
codemp/png/png.h,codemp/png/rpng.h
code/ghoul2/G2_API.cpp,code/rd-vanilla/ghoul2/G2_API.cpp,code/rd-vanilla/G2_API.cpp
code/ghoul2/G2_bolts.cpp,code/rd-vanilla/ghoul2/G2_bolts.cpp,code/rd-vanilla/G2_bolts.cpp
code/ghoul2/G2_bones.cpp,code/rd-vanilla/ghoul2/G2_bones.cpp,code/rd-vanilla/G2_bones.cpp
code/ghoul2/G2_misc.cpp,code/rd-vanilla/ghoul2/G2_misc.cpp,code/rd-vanilla/G2_misc.cpp
code/ghoul2/G2_surfaces.cpp,code/rd-vanilla/ghoul2/G2_surfaces.cpp,code/rd-vanilla/G2_surfaces.cpp
code/win32/win_gamma.cpp,code/rd-vanilla/win_gamma.cpp,code/win32/win_gamma.cpp
code/win32/win_glimp.cpp,code/rd-vanilla/win_glimp.cpp,code/win32/win_glimp.cpp
code/win32/win_qgl.cpp,code/rd-vanilla/win_qgl.cpp,code/win32/win_qgl.cpp
code/jpeg-8c/jcapimin.c,code/jpeg-6/jcapimin.cpp,code/jpeg-8c/jcapimin.c,lib/jpeg-8c/jcapimin.c,lib/jpeg-9a/jcapimin.c
code/jpeg-8c/jccoefct.c,code/jpeg-6/jccoefct.cpp,code/jpeg-8c/jccoefct.c,lib/jpeg-8c/jccoefct.c,lib/jpeg-9a/jccoefct.c
code/jpeg-8c/jccolor.c,code/jpeg-6/jccolor.cpp,code/jpeg-8c/jccolor.c,lib/jpeg-8c/jccolor.c,lib/jpeg-9a/jccolor.c
code/jpeg-8c/jcdctmgr.c,code/jpeg-6/jcdctmgr.cpp,code/jpeg-8c/jcdctmgr.c,lib/jpeg-8c/jcdctmgr.c,lib/jpeg-9a/jcdctmgr.c
code/jpeg-8c/jcinit.c,code/jpeg-6/jcinit.cpp,code/jpeg-8c/jcinit.c,lib/jpeg-8c/jcinit.c,lib/jpeg-9a/jcinit.c
code/jpeg-8c/jcmainct.c,code/jpeg-6/jcmainct.cpp,code/jpeg-8c/jcmainct.c,lib/jpeg-8c/jcmainct.c,lib/jpeg-9a/jcmainct.c
code/jpeg-8c/jcmarker.c,code/jpeg-6/jcmarker.cpp,code/jpeg-8c/jcmarker.c,lib/jpeg-8c/jcmarker.c,lib/jpeg-9a/jcmarker.c
code/jpeg-8c/jcmaster.c,code/jpeg-6/jcmaster.cpp,code/jpeg-8c/jcmaster.c,lib/jpeg-8c/jcmaster.c,lib/jpeg-9a/jcmaster.c
code/jpeg-8c/jcomapi.c,code/jpeg-6/jcomapi.cpp,code/jpeg-8c/jcomapi.c,lib/jpeg-8c/jcomapi.c,lib/jpeg-9a/jcomapi.c
code/jpeg-8c/jcparam.c,code/jpeg-6/jcparam.cpp,code/jpeg-8c/jcparam.c,lib/jpeg-8c/jcparam.c,lib/jpeg-9a/jcparam.c
code/jpeg-8c/jcprepct.c,code/jpeg-6/jcprepct.cpp,code/jpeg-8c/jcprepct.c,lib/jpeg-8c/jcprepct.c,lib/jpeg-9a/jcprepct.c
code/jpeg-8c/jcsample.c,code/jpeg-6/jcsample.cpp,code/jpeg-8c/jcsample.c,lib/jpeg-8c/jcsample.c,lib/jpeg-9a/jcsample.c
code/jpeg-8c/jctrans.c,code/jpeg-6/jctrans.cpp,code/jpeg-8c/jctrans.c,lib/jpeg-8c/jctrans.c,lib/jpeg-9a/jctrans.c
code/jpeg-8c/jdapimin.c,code/jpeg-6/jdapimin.cpp,code/jpeg-8c/jdapimin.c,lib/jpeg-8c/jdapimin.c,lib/jpeg-9a/jdapimin.c
code/jpeg-8c/jdapistd.c,code/jpeg-6/jdapistd.cpp,code/jpeg-8c/jdapistd.c,lib/jpeg-8c/jdapistd.c,lib/jpeg-9a/jdapistd.c
code/jpeg-8c/jdatadst.c,code/jpeg-6/jdatadst.cpp,code/jpeg-8c/jdatadst.c,lib/jpeg-8c/jdatadst.c,lib/jpeg-9a/jdatadst.c
code/jpeg-8c/jdatasrc.c,code/jpeg-6/jdatasrc.cpp,code/jpeg-8c/jdatasrc.c,lib/jpeg-8c/jdatasrc.c,lib/jpeg-9a/jdatasrc.c
code/jpeg-8c/jdcoefct.c,code/jpeg-6/jdcoefct.cpp,code/jpeg-8c/jdcoefct.c,lib/jpeg-8c/jdcoefct.c,lib/jpeg-9a/jdcoefct.c
code/jpeg-8c/jdcolor.c,code/jpeg-6/jdcolor.cpp,code/jpeg-8c/jdcolor.c,lib/jpeg-8c/jdcolor.c
code/jpeg-8c/jddctmgr.c,code/jpeg-6/jddctmgr.cpp,code/jpeg-8c/jddctmgr.c,lib/jpeg-8c/jddctmgr.c,lib/jpeg-9a/jddctmgr.c
code/jpeg-8c/jdmainct.c,code/jpeg-6/jdmainct.cpp,code/jpeg-8c/jdmainct.c,lib/jpeg-8c/jdmainct.c,lib/jpeg-9a/jdmainct.c
code/jpeg-8c/jdmarker.c,code/jpeg-6/jdmarker.cpp,code/jpeg-8c/jdmarker.c,lib/jpeg-8c/jdmarker.c,lib/jpeg-9a/jdmarker.c
code/jpeg-8c/jdmaster.c,code/jpeg-6/jdmaster.cpp,code/jpeg-8c/jdmaster.c,lib/jpeg-8c/jdmaster.c,lib/jpeg-9a/jdmaster.c
code/jpeg-8c/jdpostct.c,code/jpeg-6/jdpostct.cpp,code/jpeg-8c/jdpostct.c,lib/jpeg-8c/jdpostct.c,lib/jpeg-9a/jdpostct.c
code/jpeg-8c/jdsample.c,code/jpeg-6/jdsample.cpp,code/jpeg-8c/jdsample.c,lib/jpeg-8c/jdsample.c,lib/jpeg-9a/jdsample.c
code/jpeg-8c/jdtrans.c,code/jpeg-6/jdtrans.cpp,code/jpeg-8c/jdtrans.c,lib/jpeg-8c/jdtrans.c,lib/jpeg-9a/jdtrans.c
code/jpeg-8c/jerror.c,code/jpeg-6/jerror.cpp,code/jpeg-8c/jerror.c,lib/jpeg-8c/jerror.c,lib/jpeg-9a/jerror.c
code/jpeg-8c/jerror.h,code/jpeg-6/jerror.h,code/jpeg-8c/jerror.h,lib/jpeg-8c/jerror.h,lib/jpeg-9a/jerror.h
code/jpeg-8c/jfdctflt.c,code/jpeg-6/jfdctflt.cpp,code/jpeg-8c/jfdctflt.c,lib/jpeg-8c/jfdctflt.c,lib/jpeg-9a/jfdctflt.c
code/jpeg-8c/jidctflt.c,code/jpeg-6/jidctflt.cpp,code/jpeg-8c/jidctflt.c,lib/jpeg-8c/jidctflt.c,lib/jpeg-9a/jidctflt.c
code/jpeg-8c/jinclude.h,code/jpeg-6/jinclude.h,code/jpeg-8c/jinclude.h,lib/jpeg-8c/jinclude.h,lib/jpeg-9a/jinclude.h
code/jpeg-8c/jmemmgr.c,code/jpeg-6/jmemmgr.cpp,code/jpeg-8c/jmemmgr.c,lib/jpeg-8c/jmemmgr.c,lib/jpeg-9a/jmemmgr.c
code/jpeg-8c/jmemnobs.c,code/jpeg-6/jmemnobs.cpp,code/jpeg-8c/jmemnobs.c,lib/jpeg-8c/jmemnobs.c,lib/jpeg-9a/jmemnobs.c
code/jpeg-8c/jmemsys.h,code/jpeg-6/jmemsys.h,code/jpeg-8c/jmemsys.h,lib/jpeg-8c/jmemsys.h,lib/jpeg-9a/jmemsys.h
code/jpeg-8c/jmorecfg.h,code/jpeg-6/jmorecfg.h,code/jpeg-8c/jmorecfg.h,lib/jpeg-8c/jmorecfg.h,lib/jpeg-8c/include/jmorecfg.h,lib/jpeg-9a/include/jmorecfg.h
code/jpeg-8c/jpegint.h,code/jpeg-6/jpegint.h,code/jpeg-8c/jpegint.h,lib/jpeg-8c/jpegint.h,lib/jpeg-8c/include/jpegint.h,lib/jpeg-9a/include/jpegint.h
code/jpeg-8c/jpeglib.h,code/jpeg-6/jpeglib.h,code/jpeg-8c/jpeglib.h,lib/jpeg-8c/jpeglib.h,lib/jpeg-8c/include/jpeglib.h,lib/jpeg-9a/include/jpeglib.h
code/jpeg-8c/jutils.c,code/jpeg-6/jutils.cpp,code/jpeg-8c/jutils.c,lib/jpeg-8c/jutils.c,lib/jpeg-9a/jutils.c
code/jpeg-8c/jversion.h,code/jpeg-6/jversion.h,code/jpeg-8c/jversion.h,lib/jpeg-8c/jversion.h,lib/jpeg-9a/jversion.h
codemp/unix/snapvector.nasm,codemp/sys/snapvector.nasm
codemp/unix/unix_local.h,codemp/sys/unix_local.h,shared/sys/unix_local.h
codemp/unix/unix_main.cpp,codemp/sys/unix_main.cpp
codemp/unix/vm_x86.cpp,codemp/sys/vm_x86.cpp
codemp/engine.vcxproj,codemp/openjk.vcxproj
codemp/sys/snapvector.c,codemp/sys/snapvector.cpp,shared/sys/snapvector.cpp
CreateWindowsVS10Projects.bat,CreateVisualStudio2010Projects.bat
CreateWindowsVS11Projects.bat,CreateVisualStudio2012Projects.bat
code/jpeg-8c/README,lib/jpeg-8c/README,lib/jpeg-9a/README
code/jpeg-8c/ioquake3-changes.diff,lib/jpeg-8c/ioquake3-changes.diff
code/jpeg-8c/jaricom.c,lib/jpeg-8c/jaricom.c,lib/jpeg-9a/jaricom.c
code/jpeg-8c/jcapistd.c,lib/jpeg-8c/jcapistd.c,lib/jpeg-9a/jcapistd.c
code/jpeg-8c/jcarith.c,lib/jpeg-8c/jcarith.c,lib/jpeg-9a/jcarith.c
code/jpeg-8c/jchuff.c,lib/jpeg-8c/jchuff.c,lib/jpeg-9a/jchuff.c
code/jpeg-8c/jconfig.h,lib/jpeg-8c/jconfig.h,lib/jpeg-8c/include/jconfig.h
code/jpeg-8c/jdarith.c,lib/jpeg-8c/jdarith.c,lib/jpeg-9a/jdarith.c
code/jpeg-8c/jdct.h,lib/jpeg-8c/jdct.h,lib/jpeg-9a/jdct.h
code/jpeg-8c/jdhuff.c,lib/jpeg-8c/jdhuff.c,lib/jpeg-9a/jdhuff.c
code/jpeg-8c/jdinput.c,lib/jpeg-8c/jdinput.c,lib/jpeg-9a/jdinput.c
code/jpeg-8c/jdmerge.c,lib/jpeg-8c/jdmerge.c,lib/jpeg-9a/jdmerge.c
code/jpeg-8c/jfdctfst.c,lib/jpeg-8c/jfdctfst.c,lib/jpeg-9a/jfdctfst.c
code/jpeg-8c/jfdctint.c,lib/jpeg-8c/jfdctint.c,lib/jpeg-9a/jfdctint.c
code/jpeg-8c/jidctfst.c,lib/jpeg-8c/jidctfst.c,lib/jpeg-9a/jidctfst.c
code/jpeg-8c/jidctint.c,lib/jpeg-8c/jidctint.c,lib/jpeg-9a/jidctint.c
code/jpeg-8c/jquant1.c,lib/jpeg-8c/jquant1.c,lib/jpeg-9a/jquant1.c
code/jpeg-8c/jquant2.c,lib/jpeg-8c/jquant2.c,lib/jpeg-9a/jquant2.c
codemp/libpng/png.c,lib/libpng/png.c
codemp/libpng/png.h,lib/libpng/png.h,lib/libpng/include/png.h
codemp/libpng/pngconf.h,lib/libpng/pngconf.h,lib/libpng/include/pngconf.h
codemp/libpng/pngdebug.h,lib/libpng/pngdebug.h
codemp/libpng/pngerror.c,lib/libpng/pngerror.c
codemp/libpng/pngget.c,lib/libpng/pngget.c
codemp/libpng/pnginfo.h,lib/libpng/pnginfo.h
codemp/libpng/pnglibconf.h,lib/libpng/pnglibconf.h,lib/libpng/include/pnglibconf.h
codemp/libpng/pngmem.c,lib/libpng/pngmem.c
codemp/libpng/pngpread.c,lib/libpng/pngpread.c
codemp/libpng/pngpriv.h,lib/libpng/pngpriv.h
codemp/libpng/pngread.c,lib/libpng/pngread.c
codemp/libpng/pngrio.c,lib/libpng/pngrio.c
codemp/libpng/pngrtran.c,lib/libpng/pngrtran.c
codemp/libpng/pngrutil.c,lib/libpng/pngrutil.c
codemp/libpng/pngset.c,lib/libpng/pngset.c
codemp/libpng/pngstruct.h,lib/libpng/pngstruct.h
codemp/libpng/pngtrans.c,lib/libpng/pngtrans.c
codemp/libpng/pngwio.c,lib/libpng/pngwio.c
codemp/libpng/pngwrite.c,lib/libpng/pngwrite.c
codemp/libpng/pngwtran.c,lib/libpng/pngwtran.c
codemp/libpng/pngwutil.c,lib/libpng/pngwutil.c
codemp/libs/win32/zlib.lib,lib/zlib.lib
codemp/zlib/adler32.c,lib/zlib/adler32.c
codemp/zlib/compress.c,lib/zlib/compress.c
codemp/zlib/crc32.c,lib/zlib/crc32.c
codemp/zlib/crc32.h,lib/zlib/crc32.h
codemp/zlib/deflate.c,lib/zlib/deflate.c
codemp/zlib/deflate.h,lib/zlib/deflate.h
codemp/zlib/gzclose.c,lib/zlib/gzclose.c
codemp/zlib/gzguts.h,lib/zlib/gzguts.h
codemp/zlib/gzlib.c,lib/zlib/gzlib.c
codemp/zlib/gzread.c,lib/zlib/gzread.c
codemp/zlib/gzwrite.c,lib/zlib/gzwrite.c
codemp/zlib/infback.c,lib/zlib/infback.c
codemp/zlib/inffast.c,lib/zlib/inffast.c
codemp/zlib/inffast.h,lib/zlib/inffast.h
codemp/zlib/inffixed.h,lib/zlib/inffixed.h
codemp/zlib/inflate.c,lib/zlib/inflate.c
codemp/zlib/inflate.h,lib/zlib/inflate.h
codemp/zlib/inftrees.c,lib/zlib/inftrees.c
codemp/zlib/inftrees.h,lib/zlib/inftrees.h
codemp/zlib/ioapi.c,lib/zlib/ioapi.c,lib/minizip/ioapi.c
codemp/zlib/ioapi.h,lib/zlib/ioapi.h,lib/minizip/ioapi.h,lib/minizip/include/minizip/ioapi.h
codemp/zlib/trees.c,lib/zlib/trees.c
codemp/zlib/trees.h,lib/zlib/trees.h
codemp/zlib/uncompr.c,lib/zlib/uncompr.c
codemp/zlib/zconf.h,lib/zlib/zconf.h,lib/zlib/include/zconf.h
codemp/zlib/zlib.h,lib/zlib/zlib.h,lib/zlib/include/zlib.h
